Parcel_No,Draw_Acres,Deed_Acres,Realkey,Ownkey,house_no,street_nam,full_add,curr_val,valchgdate,qPub_Link
M07 047,0.285592,0,3427,9312,706,HARVEY STREET,706 HARVEY STREET,42311,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+047
M07 048,0.341442,0.33,3428,9313,712,HARVEY STREET,712 HARVEY STREET,43526,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+048
M07 049,0.528292,0,3429,9314,722,HARVEY STREET,722 HARVEY STREET,72026,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+049
M07 050,0.258095,0,3430,9315,707,HARVEY STREET,707 HARVEY STREET,41920,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+050
M07 051,0.331749,0,3431,9316,727,HARVEY STREET,727 HARVEY STREET,45307,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+051
M07 052,0.460281,0,3432,9317,719,HARVEY STREET,719 HARVEY STREET,46551,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+052
M07 053,0.552324,0,3433,9318,0,HARVEY STREET,0 HARVEY STREET,6000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+053
M07 054,0.26673,0,3434,9319,625,JORDAN AVENUE,625 JORDAN AVENUE,32456,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+054
M07 055,0.394432,0,3435,16559,706,BAY STREET,706 BAY STREET,55340,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+055
M07 056,0.392195,0,3436,9321,718,BAY STREET,718 BAY STREET,69640,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+056
M07 057,0.583412,0,3437,9322,732,BAY STREET,732 BAY STREET,115035,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+057
M07 058,0.448612,0,3438,9323,624,NORTH AVENUE,624 NORTH AVENUE,92611,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+058
M07 059,0.482707,0,3439,9324,0,N MASONIC STREET,0 N MASONIC STREET,1800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+059
M07 060,0.424305,0,3440,9325,0,N MASONIC STREET,0 N MASONIC STREET,1800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+060
M07 061,0.456659,0,3441,9326,0,N MASONIC STREET,0 N MASONIC STREET,1800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+061
M07 062,0.485764,0,3442,9327,0,N MASONIC STREET,0 N MASONIC STREET,1200,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+062
M07 063,0.477467,0,3443,9328,0,N MASONIC STREET,0 N MASONIC STREET,1200,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+063
M07 064,0.941228,0,3444,9329,820,REYNOLDS STREET,820 REYNOLDS STREET,101364,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+064
M07 064B,1.20638,0,3445,14316,0,PROGRESS PLACE,0 PROGRESS PLACE,11400,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+064B
M07 065,1.4634,0,3446,9331,844,REYNOLDS STREET,844 REYNOLDS STREET,112976,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+065
M07 066,0.4642,0,3447,14871,0,REYNOLDS STREET,0 REYNOLDS STREET,66816,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+066
M07 067,0.456726,0,3448,9333,872,REYNOLDS STREET,872 REYNOLDS STREET,65700,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+067
M07 068,0.450523,0,3449,9334,0,N MASONIC STREET,0 N MASONIC STREET,3600,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+068
M07 069,0.497399,0,3450,9335,0,N MASONIC STREET,0 N MASONIC STREET,3600,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+069
M07 070,0.516541,0,3451,9336,831,REYNOLDS STREET,831 REYNOLDS STREET,77917,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+070
M07 071,0.524091,0,3452,9336,0,REYNOLDS STREET,0 REYNOLDS STREET,3600,1/3/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+071
M07 072,0.553433,0,3453,9338,813,REYNOLDS STREET,813 REYNOLDS STREET,118890,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+072
M07 073,1.21341,0,3454,9339,809,REYNOLDS STREET,809 REYNOLDS STREET,196760,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+073
M07 074,0.119112,0,3455,7369,0,SARDIS ROAD,0 SARDIS ROAD,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+074
M07 075,88.3509,78.94,3456,16370,0,HWY 23 NORTH,0 HWY 23 NORTH,160585,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M07+075
M08 001,0.227607,0,3457,9342,832,JORDAN AVENUE,832 JORDAN AVENUE,20908,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+001
M08 002,0.228442,0,3458,9343,724,JORDAN AVENUE,724 JORDAN AVENUE,16940,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+002
M08 003,0.345331,0,3459,9344,625,WALNUT STREET,625 WALNUT STREET,60549,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+003
M08 004,0.295749,0,3460,9345,617,WALNUT STREET,617 WALNUT STREET,55321,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+004
M08 005,0.218089,0,3461,9346,0,WALNUT STREET,0 WALNUT STREET,3214,6/7/2005,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+005
M08 006,0.174903,0,3462,16042,821,BARNEY AVENUE,821 BARNEY AVENUE,72763,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+006
M08 007,0.182186,0,3463,9348,822,BARNEY AVENUE,822 BARNEY AVENUE,80226,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+007
M08 008,0.226355,0,3464,9349,0,BARNEY AVENUE,0 BARNEY AVENUE,2747,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+008
M08 009,0.480363,0,3465,9350,521,WALNUT STREET,521 WALNUT STREET,73156,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+009
M08 010,0.954676,0,3466,9351,821,PLUM AVENUE,821 PLUM AVENUE,60671,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+010
M08 011,0.567126,0,3467,9352,0,WALNUT STREET,0 WALNUT STREET,60680,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+011
M08 011A,0.271494,0.27,3468,16351,822,PLUM AVENUE,822 PLUM AVENUE,35050,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+011A
M08 012,0.826089,0,3469,9354,417,WALNUT STREET,417 WALNUT STREET,104069,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+012
M08 013,0.370234,0,3470,16126,817,CLEVELAND AVENUE,817 CLEVELAND AVENUE,50876,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+013
M08 014,0.297101,0,3471,9356,406,N MASONIC STREET,406 N MASONIC STREET,39646,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+014
M08 015,0.142134,0,3472,9357,418,N MASONIC STREET,418 N MASONIC STREET,21694,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+015
M08 016,0.252165,0,3473,14895,424,N MASONIC STREET,424 N MASONIC STREET,36761,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+016
M08 017,0.247331,0,3474,9359,432,N MASONIC STREET,432 N MASONIC STREET,51637,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+017
M08 018,0.250641,0,3475,9360,438,N MASONIC STREET,438 N MASONIC STREET,44040,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+018
M08 019,0.213201,0,3476,9361,508,N MASONIC STREET,508 N MASONIC STREET,58408,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+019
M08 020,0.407209,0,3477,9362,512,N MASONIC STREET,512 N MASONIC STREET,76767,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+020
M08 022,0.312421,0,3478,9363,530,N MASONIC STREET,530 N MASONIC STREET,76547,10/9/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+022
M08 023,0.313309,0,3479,9364,540,N MASONIC STREET,540 N MASONIC STREET,66735,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+023
M08 024,0.44025,0.44,3480,9365,610,N MASONIC STREET,610 N MASONIC STREET,61320,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+024
M08 025,0.540145,0,3481,9366,622,N MASONIC STREET,622 N MASONIC STREET,112666,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+025
M08 026,0.0611417,0,3482,9367,0,N MASONIC STREET,0 N MASONIC STREET,693,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+026
M08 027,0.431019,0,3483,16211,634,N MASONIC STREET,634 N MASONIC STREET,92104,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+027
M08 028,0.215812,0,3484,9369,642,N MASONIC STREET,642 N MASONIC STREET,43072,6/10/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+028
M08 029,0.218178,0,3485,9370,639,N MASONIC STREET,639 N MASONIC STREET,36904,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+029
M08 030,0.211618,0,3486,9371,734,JORDAN AVENUE,734 JORDAN AVENUE,63278,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+030
M08 031,0.434377,0,3487,9372,629,N MASONIC STREET,629 N MASONIC STREET,57139,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+031
M08 032,0.4901,0,3488,9373,619,N MASONIC STREET,619 N MASONIC STREET,55158,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+032
M08 033,0.22424,0,3489,9374,613,N MASONIC STREET,613 N MASONIC STREET,20061,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+033
M08 034,0.224092,0,3490,9375,607,N MASONIC STREET,607 N MASONIC STREET,31806,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+034
M08 035,0.308583,0,3491,9376,731,BARNEY AVENUE,731 BARNEY AVENUE,28077,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+035
M08 036,0.173987,0,3492,16209,732,BARNEY AVENUE,732 BARNEY AVENUE,50751,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+036
M08 037,0.229689,0,3493,16208,0,BARNEY\N MASONIC ST,0 BARNEY\N MASONIC ST,2492,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+037
M08 038,0.34573,0,3494,16208,529,N MASONIC STREET,529 N MASONIC STREET,89931,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+038
M08 039,0.304114,0,3495,16382,523,N MASONIC STREET,523 N MASONIC STREET,40865,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+039
M08 040,0.309545,0.31,3496,14683,517,N MASONIC STREET,517 N MASONIC STREET,51885,2/10/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+040
M08 041,0.413387,0,3497,15381,511,N MASONIC STREET,511 N MASONIC STREET,44180,12/20/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+041
M08 043,0.217193,0,3498,14274,731,PLUM AVENUE,731 PLUM AVENUE,41587,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+043
M08 044,0.275239,0,3499,14702,736,PLUM AVENUE,736 PLUM AVENUE,63717,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+044
M08 044A,0.662268,0,3500,9385,419,N MASONIC STREET,419 N MASONIC STREET,40256,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+044A
M08 044B,0.275676,0,3501,16351,726,PLUM AVENUE,726 PLUM AVENUE,37202,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+044B
M08 044C,0.2886,0,3502,16559,435,N MASONIC STREET,435 N MASONIC STREET,53697,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+044C
M08 045,0.663726,0,3503,9388,407,N MASONIC STREET,407 N MASONIC STREET,140807,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+045
M08 046,0.160038,0,3504,9389,0,CLEVELAND AVENUE,0 CLEVELAND AVENUE,43956,5/7/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+046
M08 047,0.390687,0,3505,9390,406,HARVEY STREET,406 HARVEY STREET,51630,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+047
M08 048,0.8149,0,3506,9391,418,HARVEY STREET,418 HARVEY STREET,94277,7/10/2008,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+048
M08 049,0.316915,0,3507,9392,430,HARVEY STREET,430 HARVEY STREET,50068,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+049
M08 050,0.334193,0,3508,9393,438,HARVEY ST\PLUM AVE,438 HARVEY ST\PLUM AVE,58502,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+050
M08 051,0.194952,0,3509,9394,723,PLUM AVENUE,723 PLUM AVENUE,29718,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+051
M08 052,0.220945,0.21,3510,9395,506,HARVEY STREET,506 HARVEY STREET,65767,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+052
M08 053,0.20194,0,3511,9396,512,HARVEY STREET,512 HARVEY STREET,31202,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+053
M08 054,0.310442,0,3512,9397,518,HARVEY STREET,518 HARVEY STREET,31710,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+054
M08 055,0.314455,0,3513,9398,524,HARVEY STREET,524 HARVEY STREET,29535,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+055
M08 056,0.279668,0,3514,16550,530,HARVEY STREET,530 HARVEY STREET,44615,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+056
M08 057,0.183136,0,3515,9400,0,HARVEY STREET,0 HARVEY STREET,37856,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+057
M08 058,0.177129,0,3516,9401,542,HARVEY STREET,542 HARVEY STREET,44946,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+058
M08 059,0.118758,0,3517,8648,720,BARNEY AVENUE,720 BARNEY AVENUE,17131,4/3/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+059
M08 060,0.119467,0.12,3518,16209,724,BARNEY AVENUE,724 BARNEY AVENUE,1803,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+060
M08 061,0.218626,0,3519,9404,0,BARNEY AVENUE,0 BARNEY AVENUE,12283,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+061
M08 062,0.197133,0,3520,9405,724,BARNEY AVENUE,724 BARNEY AVENUE,37184,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+062
M08 063,0.190702,0,3521,9406,610,HARVEY STREET,610 HARVEY STREET,53750,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+063
M08 064,0.308361,0,3522,9407,618,HARVEY STREET,618 HARVEY STREET,35642,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+064
M08 066,0.636711,0.62,3524,9408,632,HARVEY STREET,632 HARVEY STREET,89113,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+066
M08 067,0.606742,0,3525,9410,640,HARVEY STREET,640 HARVEY STREET,73307,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+067
M08 068,0.583586,0,3526,9411,0,HARVEY STREET,0 HARVEY STREET,42742,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+068
M08 069,0.324709,0,3527,9412,627,HARVEY STREET,627 HARVEY STREET,54217,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+069
M08 070,0.201963,0,3528,9413,617,HARVEY STREET,617 HARVEY STREET,58780,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+070
M08 071,0.354061,0,3529,9414,643,BARNEY AVENUE,643 BARNEY AVENUE,73409,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+071
M08 072,0.405592,0,3530,9415,631,BARNEY AVENUE,631 BARNEY AVENUE,49530,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+072
M08 073,0.252363,0.24,3531,16351,630,BARNEY AVENUE,630 BARNEY AVENUE,29756,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+073
M08 074,0.381525,0.35,3532,9417,539,HARVEY STREET,539 HARVEY STREET,60871,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+074
M08 075,0.323847,0,3533,9418,529,HARVEY STREET,529 HARVEY STREET,68380,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+075
M08 076,0.24516,0.23,3534,9419,519,HARVEY STREET,519 HARVEY STREET,35723,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+076
M08 077,0.358327,0.34,3535,9420,0,HARVEY ST\PLUM AVE,0 HARVEY ST\PLUM AVE,63195,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+077
M08 078,0.427427,0,3536,9421,629,PLUM AVENUE,629 PLUM AVENUE,45868,7/2/2008,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+078
M08 079,0.302038,0,3537,15383,630,PLUM AVENUE,630 PLUM AVENUE,38791,8/17/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+079
M08 080,0.317045,0,3538,14696,437,HARVEY STREET,437 HARVEY STREET,71528,6/27/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+080
M08 081,0.297991,0,3539,9424,427,HARVEY STREET,427 HARVEY STREET,29961,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+081
M08 082,0.612262,0,3540,9425,417,HARVEY STREET,417 HARVEY STREET,46417,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+082
M08 083,0.33491,0,3541,15092,0,HARVEY STREET,0 HARVEY STREET,13525,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+083
M08 083A,0.154052,0,3542,9427,0,CLEVELAND AVENUE,0 CLEVELAND AVENUE,1447,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+083A
M08 084,0.512287,0,3543,9428,617,CLEVELAND AVENUE,617 CLEVELAND AVENUE,110745,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+084
M08 085,0.160422,0,3544,9429,0,CLEVELAND AVENUE,0 CLEVELAND AVENUE,1350,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+085
M08 086,0.17808,0,3545,9430,0,BAY ST\CLEVELAND AVE,0 BAY ST\CLEVELAND AVE,1800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+086
M08 087,0.116679,0,3546,9431,420,BAY STREET,420 BAY STREET,44789,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+087
M08 088,0.115265,0,3547,9432,0,BAY STREET,0 BAY STREET,1050,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+088
M08 089,0.3427,0,3548,9433,438,BAY STREET,438 BAY STREET,76450,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+089
M08 090,0.268908,0,3549,9434,616,PLUM AVENUE,616 PLUM AVENUE,43710,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+090
M08 091,0.269567,0,3550,9435,624,PLUM AVENUE,624 PLUM AVENUE,40580,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+091
M08 092,0.335194,0,3551,9436,623,PLUM AVENUE,623 PLUM AVENUE,38202,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+092
M08 093,0.342229,0,3552,9437,613,PLUM AVENUE,613 PLUM AVENUE,41348,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+093
M08 094,0.149511,0,3553,9438,0,PLUM AVENUE,0 PLUM AVENUE,8250,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+094
M08 095,0.258695,0,3554,8648,506,BAY STREET,506 BAY STREET,37398,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+095
M08 096,0.228177,0,3555,9440,508,BAY STREET,508 BAY STREET,4275,6/24/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+096
M08 097,0.350739,0,3556,9441,606,BARNEY AVENUE,606 BARNEY AVENUE,52493,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+097
M08 098,0.250771,0,3557,8648,616,BARNEY AVENUE,616 BARNEY AVENUE,37343,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+098
M08 099,0.334409,0,3558,8648,622,BARNEY AVENUE,622 BARNEY AVENUE,43089,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+099
M08 100,0.283023,0,3559,9444,623,BARNEY AVENUE,623 BARNEY AVENUE,59630,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+100
M08 101,0.219533,0,3560,9445,617,BARNEY AVENUE,617 BARNEY AVENUE,28901,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+101
M08 102,0.23204,0,3561,15672,611,BARNEY AVENUE,611 BARNEY AVENUE,33254,8/19/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+102
M08 103,0.214749,0,3562,9447,605,BARNEY AVENUE,605 BARNEY AVENUE,55854,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+103
M08 104,0.70709,0,3563,16559,626,BAY STREET,626 BAY STREET,86001,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+104
M08 105,0.545969,0,3564,9449,636,BAY STREET,636 BAY STREET,104508,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+105
M08 106,0.211585,0,3565,14901,626,JORDAN AVENUE,626 JORDAN AVENUE,56166,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+106
M08 107,0.202295,0,3566,9451,543,BAY STREET,543 BAY STREET,35650,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+107
M08 108,0.387473,0,3567,9452,531,BAY STREET,531 BAY STREET,29069,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+108
M08 110,0.340538,0.34,3569,8648,521,BAY STREET,521 BAY STREET,21723,4/3/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+110
M08 111,0.182523,0,3570,16344,515,BAY STREET,515 BAY STREET,21944,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+111
M08 112,0.265042,0,3571,9456,507,BAY STREET,507 BAY STREET,21480,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+112
M08 113,2.62674,0,3572,7369,0,N GRAY STREET,0 N GRAY STREET,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+113
M08 114,0.41722,0,3573,9458,515,PLUM AVENUE,515 PLUM AVENUE,22815,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+114
M08 115,0.17559,0,3574,8648,516,N GRAY STREET,516 N GRAY STREET,36018,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+115
M08 116,0.168248,0,3575,9460,522,N GRAY STREET,522 N GRAY STREET,21931,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+116
M08 117,0.160807,0,3576,9461,0,N GRAY STREET,0 N GRAY STREET,1733,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+117
M08 118,0.378296,0.37,3577,9462,0,BARNEY AVENUE,0 BARNEY AVENUE,4860,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M08+118
015 000,26.601,0,0,0,0,,0,0,,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+000
